family,identifier,child,subchild,sort-as,control_name,assessment_objective,EXAMINE,INTERVIEW,TEST
,,AC-04(21),AC-04(21)[02],AC-04-21-05,,information flows are separated physically using <AC-04(21)_ODP[02] mechanisms and/or techniques> to accomplish <AC-04(21)_ODP[03] required separations>.,,,
,AC-04(22),,,AC-04-22-00,Information Flow Enforcement | Access Only,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
,,AC-04(22),AC-04(22),AC-04-22-01,,"access is provided from a single device to computing platforms, applications, or data that reside in multiple different security domains while preventing information flow between the different security domains.",,,
,AC-04(23),,,AC-04-23-00,Information Flow Enforcement | Modify Non-releasable Information,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
,,AC-04(23),AC-04(23)_ODP,AC-04-23-01,,modification action implemented on non-releasable information is defined;,,,
,,AC-04(23),AC-04(23),AC-04-23-02,,"when transferring information between security domains, non-releasable information is modified by implementing <AC-04(23)_ODP modification action>.",,,
,AC-04(24),,,AC-04-24-00,Information Flow Enforcement | Internal Normalized Format,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
,,AC-04(24),AC-04(24)[01],AC-04-24-01,,"when transferring information between different security domains, incoming data is parsed into an internal, normalized format;",,,
,,AC-04(24),AC-04(24)[02],AC-04-24-02,,"when transferring information between different security domains, the data is regenerated to be consistent with its intended specification.",,,
,AC-04(25),,,AC-04-25-00,Information Flow Enforcement | Data Sanitization,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
,,AC-04(25),AC-04(25)_ODP[01],AC-04-25-01,,"one or more of the following PARAMETER VALUES is/are selected: {delivery of malicious content, command and control of malicious code, malicious code augmentation, and steganography-encoded data; spillage of sensitive information};",,,
,,AC-04(25),AC-04(25)_ODP[02],AC-04-25-02,,policy for sanitizing data is defined;,,,
,,AC-04(25),AC-04(25),AC-04-25-03,,"when transferring information between different security domains, data is sanitized to minimize <AC-04(25)_ODP[01] SELECTED PARAMETER VALUES> in accordance with <AC-04(25)_ODP[02] policy>.",,,
,AC-04(26),,,AC-04-26-00,Information Flow Enforcement | Audit Filtering Actions,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing content filtering; mechanisms recording and auditing content filtering].
,,AC-04(26),AC-04(26)[01],AC-04-26-01,,"when transferring information between different security domains, content-filtering actions are recorded and audited;",,,
,,AC-04(26),AC-04(26)[02],AC-04-26-02,,"when transferring information between different security domains, results for the information being filtered are recorded and audited.",,,
,AC-04(27),,,AC-04-27-00,Information Flow Enforcement | Redundant/Independent Filtering Mechanisms,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
,,AC-04(27),AC-04(27),AC-04-27-01,,"when transferring information between security domains, implemented content filtering solutions provide redundant and independent filtering mechanisms for each data type.",,,
,AC-04(28),,,AC-04-28-00,Information Flow Enforcement | Linear Filter Pipelines,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing linear content filters].
,,AC-04(28),AC-04(28),AC-04-28-01,,"when transferring information between security domains, a linear content filter pipeline is implemented that is enforced with discretionary and mandatory access controls.",,,
,AC-04(29),,,AC-04-29-00,Information Flow Enforcement | Filter Orchestration Engines,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing content filter orchestration engines].
,,AC-04(29),AC-04(29)_ODP,AC-04-29-01,,policy for content-filtering actions is defined;,,,
,,AC-04(29),AC-04(29)(a),AC-04-29-02,,"when transferring information between security domains, content filter orchestration engines are employed to ensure that content-filtering mechanisms successfully complete execution without errors;",,,
,,AC-04(29),AC-04(29)(b)[01],AC-04-29-03,,"when transferring information between security domains, content filter orchestration engines are employed to ensure that content-filtering actions occur in the correct order;",,,
,,AC-04(29),AC-04(29)(b)[02],AC-04-29-04,,"when transferring information between security domains, content filter orchestration engines are employed to ensure that content-filtering actions comply with <AC-04(29)_ODP policy>.",,,
,AC-04(30),,,AC-04-30-00,Information Flow Enforcement | Filter Mechanisms Using Multiple Processes,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing content filtering].
,,AC-04(30),AC-04(30),AC-04-30-01,,"when transferring information between security domains, content-filtering mechanisms using multiple processes are implemented.",,,
,AC-04(31),,,AC-04-31-00,Information Flow Enforcement | Failed Content Transfer Prevention,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
,,AC-04(31),AC-04(31),AC-04-31-01,,"when transferring information between different security domains, the transfer of failed content to the receiving domain is prevented.",,,
,AC-04(32),,,AC-04-32-00,Information Flow Enforcement | Process Requirements for Information Transfer,Determine if:,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing content filtering].
,,AC-04(32),AC-04(32)(a),AC-04-32-01,,"when transferring information between different security domains, the process that transfers information between filter pipelines does not filter message content;",,,
,,AC-04(32),AC-04(32)(b),AC-04-32-02,,"when transferring information between different security domains, the process that transfers information between filter pipelines validates filtering metadata;",,,
,,AC-04(32),AC-04(32)(c),AC-04-32-03,,"when transferring information between different security domains, the process that transfers information between filter pipelines ensures that the content with the filtering metadata has successfully completed filtering;",,,
,,AC-04(32),AC-04(32)(d),AC-04-32-04,,"when transferring information between different security domains, the process that transfers information between filter pipelines transfers the content to the destination filter pipeline.",,,
ACCESS CONTROL,AC-04,,,AC-04-00-00,Information Flow Enforcement,Determine if:,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; security architecture documentation; privacy architecture documentation; system design documentation; system configuration settings and associated documentation; system baseline configuration; list of information flow authorizations; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy architecture development responsibilities; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
,,AC-05,AC-05_ODP,AC-05-00-01,,duties of individuals requiring separation are defined;,,,
,,AC-05,AC-05a.,AC-05-00-02,,<AC-05_ODP duties of individuals> are identified and documented;,,,
,,AC-05,AC-05b.,AC-05-00-03,,system access authorizations to support separation of duties are defined.,,,
ACCESS CONTROL,AC-05,,,AC-05-00-00,Separation of Duties,Determine if:,[SELECT FROM: Access control policy; procedures addressing divisions of responsibility and separation of duties; system configuration settings and associated documentation; list of divisions of responsibility and separation of duties; system access authorizations; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining appropriate divisions of responsibility and separation of duties; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing separation of duties policy].
,,AC-06,AC-06,AC-06-00-01,,"the principle of least privilege is employed, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",,,
,AC-06(01),,,AC-06-01-00,Least Privilege | Authorize Access to Security Functions,Determine if:,"[SELECT FROM: Access control policy; procedures addressing least privilege; list of security functions (deployed in hardware, software, and firmware) and security-relevant information for which access must be explicitly authorized; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing least privilege functions].
,,AC-06(01),AC-06(01)_ODP[01],AC-06-01-01,,individuals and roles with authorized access to security functions and security-relevant information are defined;,,,
,,AC-06(01),AC-06(01)_ODP[02],AC-06-01-02,,security functions (deployed in hardware) for authorized access are defined;,,,
,,AC-06(01),AC-06(01)_ODP[03],AC-06-01-03,,security functions (deployed in software) for authorized access are defined;,,,
,,AC-06(01),AC-06(01)_ODP[04],AC-06-01-04,,security functions (deployed in firmware) for authorized access are defined;,,,
,,AC-06(01),AC-06(01)_ODP[05],AC-06-01-05,,security-relevant information for authorized access is defined;,,,
,,AC-06(01),AC-06(01)(a)[01],AC-06-01-06,,access is authorized for <AC-06(01)_ODP[01] individuals and roles> to <AC-06(01)_ODP[02] security functions (deployed in hardware)>;,,,
,,AC-06(01),AC-06(01)(a)[02],AC-06-01-07,,access is authorized for <AC-06(01)_ODP[01] individuals and roles> to <AC-06(01)_ODP[03] security functions (deployed in software)>;,,,
,,AC-06(01),AC-06(01)(a)[03],AC-06-01-08,,access is authorized for <AC-06(01)_ODP[01] individuals and roles> to <AC-06(01)_ODP[04] security functions (deployed in firmware)>;,,,
,,AC-06(01),AC-06(01)(b),AC-06-01-09,,access is authorized for <AC-06(01)_ODP[01] individuals and roles> to <AC-06(01)_ODP[05] security-relevant information>.,,,
,AC-06(02),,,AC-06-02-00,Least Privilege | Non-privileged Access for Nonsecurity Functions,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; list of system-generated security functions or security-relevant information assigned to system accounts or roles; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing least privilege functions].
,,AC-06(02),AC-06(02)_ODP,AC-06-02-01,,"security functions or security-relevant information, the access to which requires users to use non-privileged accounts to access non-security functions, are defined;",,,
,,AC-06(02),AC-06(02),AC-06-02-02,,users of system accounts (or roles) with access to <AC-06(02)_ODP security functions or security-relevant information> are required to use non-privileged accounts or roles when accessing non-security functions.,,,
,AC-06(03),,,AC-06-03-00,Least Privilege | Network Access to Privileged Commands,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; system configuration settings and associated documentation; system audit records; list of operational needs for authorizing network access to privileged commands; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing least privilege functions].
,,AC-06(03),AC-06(03)_ODP[01],AC-06-03-01,,privileged commands to which network access is to be authorized only for compelling operational needs are defined;,,,
,,AC-06(03),AC-06(03)_ODP[02],AC-06-03-02,,compelling operational needs necessitating network access to privileged commands are defined;,,,
,,AC-06(03),AC-06(03)[01],AC-06-03-03,,network access to <AC-06(03)_ODP[01] privileged commands> is authorized only for <AC-06(03)_ODP[02] compelling operational needs>;,,,
,,AC-06(03),AC-06(03)[02],AC-06-03-04,,the rationale for authorizing network access to privileged commands is documented in the security plan for the system.,,,
,AC-06(04),,,AC-06-04-00,Least Privilege | Separate Processing Domains,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing least privilege functions].
,,AC-06(04),AC-06(04),AC-06-04-01,,separate processing domains are provided to enable finer-grain allocation of user privileges.,,,
,AC-06(05),,,AC-06-05-00,Least Privilege | Privileged Accounts,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; list of system-generated privileged accounts; list of system administration personnel; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing least privilege functions].
,,AC-06(05),AC-06(05)_ODP,AC-06-05-01,,personnel or roles to which privileged accounts on the system are to be restricted is/are defined;,,,
,,AC-06(05),AC-06(05),AC-06-05-02,,privileged accounts on the system are restricted to <AC-06(05)_ODP personnel or roles>.,,,
,AC-06(06),,,AC-06-06-00,Least Privilege | Privileged Access by Non-organizational Users,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; list of system-generated privileged accounts; list of non-organizational users; system configuration settings and associated documentation; audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms prohibiting privileged access to the system].
,,AC-06(06),AC-06(06),AC-06-06-01,,privileged access to the system by non-organizational users is prohibited.,,,
,AC-06(07),,,AC-06-07-00,Least Privilege | Review of User Privileges,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; list of system-generated roles or classes of users and assigned privileges; system design documentation; system configuration settings and associated documentation; validation reviews of privileges assigned to roles or classes or users; records of privilege removals or reassignments for roles or classes of users; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for reviewing least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing review of user privileges].
,,AC-06(07),AC-06(07)_ODP[01],AC-06-07-01,,the frequency at which to review the privileges assigned to roles or classes of users is defined;,,,
,,AC-06(07),AC-06(07)_ODP[02],AC-06-07-02,,roles or classes of users to which privileges are assigned are defined;,,,
,,AC-06(07),AC-06(07)(a),AC-06-07-03,,privileges assigned to <AC-06(07)_ODP[02] roles and classes> are reviewed <AC-06(07)_ODP[01] frequency> to validate the need for such privileges;,,,
,,AC-06(07),AC-06(07)(b),AC-06-07-04,,"privileges are reassigned or removed, if necessary, to correctly reflect organizational mission and business needs.",,,
,AC-06(08),,,AC-06-08-00,Least Privilege | Privilege Levels for Code Execution,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; list of software that should not execute at higher privilege levels than users executing software; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators; system developers].,[SELECT FROM: Mechanisms implementing least privilege functions for software execution].
,,AC-06(08),AC-06(08)_ODP,AC-06-08-01,,software to be prevented from executing at higher privilege levels than users executing the software is defined;,,,
,,AC-06(08),AC-06(08),AC-06-08-02,,<AC-06(08)_ODP software> is prevented from executing at higher privilege levels than users executing the software.,,,
,AC-06(09),,,AC-06-09-00,Least Privilege | Log Use of Privileged Functions,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; system design documentation; system configuration settings and associated documentation; list of privileged functions to be audited; list of audited events; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for reviewing least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators; system developers].,[SELECT FROM: Mechanisms auditing the execution of least privilege functions].
,,AC-06(09),AC-06(09),AC-06-09-01,,the execution of privileged functions is logged.,,,
,AC-06(10),,,AC-06-10-00,Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; system design documentation; system configuration settings and associated documentation; list of privileged functions and associated user account assignments; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing least privilege functions for non-privileged users].
,,AC-06(10),AC-06(10),AC-06-10-01,,non-privileged users are prevented from executing privileged functions.,,,
ACCESS CONTROL,AC-06,,,AC-06-00-00,Least Privilege,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; list of assigned access authorizations (user privileges); system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing least privilege functions].
,,AC-07,AC-07_ODP[01],AC-07-00-01,,the number of consecutive invalid logon attempts by a user allowed during a time period is defined;,,,
,,AC-07,AC-07_ODP[02],AC-07-00-02,,the time period to which the number of consecutive invalid logon attempts by a user is limited is defined;,,,
,,AC-07,AC-07_ODP[03],AC-07-00-03,,one or more of the following PARAMETER VALUES is/are selected: {lock the account or node for <AC-07_ODP[04] time period>; lock the account or node until released by an administrator; delay next logon prompt per <AC-07_ODP[05] delay algorithm>; notify system administrator; take other <AC-07_ODP[06] action>};,,,
,,AC-07,AC-07_ODP[04],AC-07-00-04,,time period for an account or node to be locked is defined (if selected);,,,
,,AC-07,AC-07_ODP[05],AC-07-00-05,,delay algorithm for the next logon prompt is defined (if selected);,,,
,,AC-07,AC-07_ODP[06],AC-07-00-06,,other action to be taken when the maximum number of unsuccessful attempts is exceeded is defined (if selected);,,,
,,AC-07,AC-07a.,AC-07-00-07,,a limit of <AC-07_ODP[01] number> consecutive invalid logon attempts by a user during <AC-07_ODP[02] time period> is enforced;,,,
,,,AC-07b.,AC-07-00-08,,automatically <AC-07_ODP[03] SELECTED PARAMETER VALUES> when the maximum number of unsuccessful attempts is exceeded.,,,
,AC-07(01),,,AC-07-01-00,Unsuccessful Logon Attempts | Automatic Account Lock,[WITHDRAWN: Incorporated into AC-07.],,,
,AC-07(02),,,AC-07-02-00,Unsuccessful Logon Attempts | Purge or Wipe Mobile Device,Determine if:,"[SELECT FROM: Access control policy; procedures addressing unsuccessful logon attempts on mobile devices; system design documentation; system configuration settings and associated documentation; list of mobile devices to be purged/wiped after organization-defined consecutive, unsuccessful device logon attempts; list of purging/wiping requirements or techniques for mobile devices; system audit records; system security plan; other relevant documents or records].",[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access control policy for unsuccessful device logon attempts].
,,AC-07(02),AC-07(02)_ODP[01],AC-07-02-01,,mobile devices to be purged or wiped of information are defined;,,,
,,AC-07(02),AC-07(02)_ODP[02],AC-07-02-02,,purging or wiping requirements and techniques to be used when mobile devices are purged or wiped of information are defined;,,,
,,AC-07(02),AC-07(02)_ODP[03],AC-07-02-03,,"the number of consecutive, unsuccessful logon attempts before the information is purged or wiped from mobile devices is defined;",,,
,,AC-07(02),AC-07(02),AC-07-02-04,,"information is purged or wiped from <AC-07(02)_ODP[01] mobile devices> based on <AC-07(02)_ODP[02] purging or wiping requirements or techniques> after <AC-07(02)_ODP[03] number> consecutive, unsuccessful device logon attempts.",,,
,AC-07(03),,,AC-07-03-00,Unsuccessful Logon Attempts | Biometric Attempt Limiting,Determine if:,[SELECT FROM: Access control policy; procedures addressing unsuccessful logon attempts on biometric devices; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access control policy for unsuccessful logon attempts].
,,AC-07(03),AC-07(03)_ODP,AC-07-03-01,,the number of unsuccessful biometric logon attempts is defined;,,,
,,AC-07(03),AC-07(03),AC-07-03-02,,unsuccessful biometric logon attempts are limited to <AC-07(03)_ODP number>.,,,
,AC-07(04),,,AC-07-04-00,Unsuccessful Logon Attempts | Use of Alternate Authentication Factor,Determine if:,[SELECT FROM: Access control policy; procedures addressing unsuccessful logon attempts for primary and alternate authentication factors; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access control policy for unsuccessful logon attempts].
,,AC-07(04),AC-07(04)_ODP[01],AC-07-04-01,,authentication factors allowed to be used that are different from the primary authentication factors are defined;,,,
,,AC-07(04),AC-07(04)_ODP[02],AC-07-04-02,,"the number of consecutive, invalid logon attempts through the use of alternative factors for which to enforce a limit by a user is defined;",,,
,,AC-07(04),AC-07(04)_ODP[03],AC-07-04-03,,time period during which a user can attempt logons through alternative factors is defined;,,,
,,AC-07(04),AC-07(04)(a),AC-07-04-04,,<AC-07(04)_ODP[01] authentication factors> that are different from the primary authentication factors are allowed to be used after the number of organization-defined consecutive invalid logon attempts have been exceeded;,,,
,,AC-07(04),AC-07(04)(b),AC-07-04-05,,a limit of <AC-07(04)_ODP[02] number> consecutive invalid logon attempts through the use of the alternative factors by the user during a <AC-07(04)_ODP[03] time period> is enforced.,,,
ACCESS CONTROL,AC-07,,,AC-07-00-00,Unsuccessful Logon Attempts,Determine if:,[SELECT FROM: Access control policy; procedures addressing unsuccessful logon attempts; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information security responsibilities; system developers; system/network administrators].,[SELECT FROM: Mechanisms implementing access control policy for unsuccessful logon attempts].
,AC-08_ODP[01],,,AC-08-00-01,,system use notification message or banner to be displayed by the system to users before granting access to the system is defined;,,,
,AC-08_ODP[02],,,AC-08-00-02,,conditions for system use to be displayed by the system before granting further access are defined;,,,
,AC-08a.,,,AC-08-00-03,,"<AC-08_ODP[01] system use notification> is displayed to users before granting access to the system that provides privacy and security notices consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines;",,,
,,AC-08a.,AC-08a.01,AC-08-00-04,,the system use notification states that users are accessing a U.S. Government system;,,,
,,AC-08a.,AC-08a.02,AC-08-00-05,,"the system use notification states that system usage may be monitored, recorded, and subject to audit;",,,
,,AC-08a.,AC-08a.03,AC-08-00-06,,the system use notification states that unauthorized use of the system is prohibited and subject to criminal and civil penalties; and,,,
,,AC-08a.,AC-08a.04,AC-08-00-07,,the system use notification states that use of the system indicates consent to monitoring and recording;,,,
,AC-08b.,,,AC-08-00-08,,the notification message or banner is retained on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system;,,,
,AC-08c.01,,,AC-08-00-09,,"for publicly accessible systems, system use information <AC-08_ODP[02] conditions> is displayed before granting further access to the publicly accessible system;",,,
,AC-08c.02,,,AC-08-00-10,,"for publicly accessible systems, any references to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities are displayed;",,,
,AC-08c.03,,,AC-08-00-11,,"for publicly accessible systems, a description of the authorized uses of the system is included.",,,
ACCESS CONTROL,AC-08,,,AC-08-00-00,System Use Notification,Determine if:,"[SELECT FROM: Access control policy; privacy and security policies, procedures addressing system use notification; documented approval of system use notification messages or banners; system audit records; user acknowledgements of notification message or banner; system design documentation; system configuration settings and associated documentation; system use notification messages; system security plan; privacy plan; privacy impact assessment; privacy assessment report; other relevant documents or records].",[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; legal counsel; system developers].,[SELECT FROM: Mechanisms implementing system use notification].
,,AC-09,AC-09,AC-09-00-01,,"the user is notified, upon successful logon to the system, of the date and time of the last logon.",,,
,AC-09(01),,,AC-09-01-00,Previous Logon Notification | Unsuccessful Logons,Determine if:,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
,,AC-09(01),AC-09(01),AC-09-01-01,,"the user is notified, upon successful logon, of the number of unsuccessful logon attempts since the last successful logon.",,,
,AC-09(02),,,AC-09-02-00,Previous Logon Notification | Successful and Unsuccessful Logons,Determine if:,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
,,AC-09(02),AC-09(02)_ODP[01],AC-09-02-01,,one of the following PARAMETER VALUES is selected: {successful logons; unsuccessful logon attempts; both};,,,
,,AC-09(02),AC-09(02)_ODP[02],AC-09-02-02,,"the time period for which the system notifies the user of the number of successful logons, unsuccessful logon attempts, or both is defined;",,,
,,AC-09(02),AC-09(02),AC-09-02-03,,"the user is notified, upon successful logon, of the number of <AC-09(02)_ODP[01] SELECTED PARAMETER VALUE> during <AC-09(02)_ODP[02] time period>.",,,
,AC-09(03),,,AC-09-03-00,Previous Logon Notification | Notification of Account Changes,Determine if:,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
,,AC-09(03),AC-09(03)_ODP[01],AC-09-03-01,,changes to security-related characteristics or parameters of the user’s account that require notification are defined;,,,
,,AC-09(03),AC-09(03)_ODP[02],AC-09-03-02,,the time period for which the system notifies the user of changes to security-related characteristics or parameters of the user’s account is defined;,,,
,,AC-09(03),AC-09(03),AC-09-03-03,,"the user is notified, upon successful logon, of changes to <AC-09(03)_ODP[01] security-related characteristics or parameters> during <AC-09(03)_ODP[02] time period>.",,,
,AC-09(04),,,AC-09-04-00,Previous Logon Notification | Additional Logon Information,Determine if:,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
,,AC-09(04),AC-09(04)_ODP,AC-09-04-01,,additional information about which to notify the user is defined;,,,
,,AC-09(04),AC-09(04),AC-09-04-02,,"the user is notified, upon successful logon, of <AC-09(04)_ODP additional information>.",,,
